净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2011-01-28,1.0,1.0,,封闭期,封闭期,nan
2011-02-01,1.0,1.0,0.0,封闭期,封闭期,nan
2011-02-11,1.001,1.001,0.1,封闭期,封闭期,nan
2011-02-18,1.001,1.001,0.0,封闭期,封闭期,nan
2011-02-25,1.0,1.0,-0.1,封闭期,封闭期,nan
2011-03-04,0.999,0.999,-0.1,封闭期,封闭期,nan
2011-03-11,1.002,1.002,0.3,封闭期,封闭期,nan
2011-03-18,1.001,1.001,-0.1,封闭期,封闭期,nan
2011-03-23,0.996,0.996,-0.5,封闭期,封闭期,nan
2011-03-24,0.997,0.997,0.1,封闭期,封闭期,nan
2011-03-25,0.996,0.996,-0.1,封闭期,封闭期,nan
2011-03-28,0.99,0.99,-0.6,开放申购,开放赎回,nan
2011-03-29,0.984,0.984,-0.61,开放申购,开放赎回,nan
2011-03-30,0.983,0.983,-0.1,开放申购,开放赎回,nan
2011-03-31,0.982,0.982,-0.1,开放申购,开放赎回,nan
2011-04-01,0.983,0.983,0.1,开放申购,开放赎回,nan
2011-04-06,0.981,0.981,-0.2,开放申购,开放赎回,nan
2011-04-07,0.981,0.981,0.0,开放申购,开放赎回,nan
2011-04-08,0.989,0.989,0.82,开放申购,开放赎回,nan
2011-04-11,0.987,0.987,-0.2,开放申购,开放赎回,nan
2011-04-12,0.986,0.986,-0.1,开放申购,开放赎回,nan
2011-04-13,0.992,0.992,0.61,开放申购,开放赎回,nan
2011-04-14,0.992,0.992,0.0,开放申购,开放赎回,nan
2011-04-15,0.991,0.991,-0.1,开放申购,开放赎回,nan
2011-04-18,0.991,0.991,0.0,开放申购,开放赎回,nan
2011-04-19,0.99,0.99,-0.1,开放申购,开放赎回,nan
2011-04-20,1.002,1.002,1.21,开放申购,开放赎回,nan
2011-04-21,1.001,1.001,-0.1,开放申购,开放赎回,nan
2011-04-22,0.998,0.998,-0.3,开放申购,开放赎回,nan
2011-04-25,0.997,0.997,-0.1,开放申购,开放赎回,nan
2011-04-26,0.989,0.989,-0.8,开放申购,开放赎回,nan
2011-04-27,0.984,0.984,-0.51,开放申购,开放赎回,nan
2011-04-28,0.969,0.969,-1.52,开放申购,开放赎回,nan
2011-04-29,0.976,0.976,0.72,开放申购,开放赎回,nan
2011-05-03,0.986,0.986,1.02,开放申购,开放赎回,nan
2011-05-04,0.981,0.981,-0.51,开放申购,开放赎回,nan
2011-05-05,0.988,0.988,0.71,开放申购,开放赎回,nan
2011-05-06,0.993,0.993,0.51,开放申购,开放赎回,nan
2011-05-09,0.994,0.994,0.1,开放申购,开放赎回,nan
2011-05-10,0.991,0.991,-0.3,开放申购,开放赎回,nan
2011-05-11,0.992,0.992,0.1,开放申购,开放赎回,nan
2011-05-12,0.988,0.988,-0.4,开放申购,开放赎回,nan
2011-05-13,0.99,0.99,0.2,开放申购,开放赎回,nan
2011-05-16,0.988,0.988,-0.2,开放申购,开放赎回,nan
2011-05-17,0.987,0.987,-0.1,开放申购,开放赎回,nan
2011-05-18,0.989,0.989,0.2,开放申购,开放赎回,nan
2011-05-19,0.992,0.992,0.3,开放申购,开放赎回,nan
2011-05-20,0.992,0.992,0.0,开放申购,开放赎回,nan
2011-05-23,0.976,0.976,-1.61,开放申购,开放赎回,nan
2011-05-24,0.974,0.974,-0.2,开放申购,开放赎回,nan
2011-05-25,0.966,0.966,-0.82,开放申购,开放赎回,nan
2011-05-26,0.957,0.957,-0.93,开放申购,开放赎回,nan
2011-05-27,0.953,0.953,-0.42,开放申购,开放赎回,nan
2011-05-30,0.953,0.953,0.0,开放申购,开放赎回,nan
2011-05-31,0.96,0.96,0.73,开放申购,开放赎回,nan
2011-06-01,0.962,0.962,0.21,开放申购,开放赎回,nan
2011-06-02,0.959,0.959,-0.31,开放申购,开放赎回,nan
2011-06-03,0.968,0.968,0.94,开放申购,开放赎回,nan
2011-06-07,0.972,0.972,0.41,开放申购,开放赎回,nan
2011-06-08,0.97,0.97,-0.21,开放申购,开放赎回,nan
2011-06-09,0.961,0.961,-0.93,开放申购,开放赎回,nan
2011-06-10,0.961,0.961,0.0,开放申购,开放赎回,nan
2011-06-13,0.958,0.958,-0.31,开放申购,开放赎回,nan
