"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"009378","招商瑞恒一年持有期混合C",,"1.0507","0.12","0.35","1.36","4.83","","","","","5.07",""
"009377","招商瑞恒一年持有期混合A",,"1.0532","0.11","0.35","1.45","5.03","","","","","5.32",""
"009376","景顺长城成长领航混合",,"1.2271","2.03","0.11","15.46","21.05","","","","","22.71",""
"009371","浦银安盛睿和优选3个月持有混合(FOF)C",,"1.0241","0.05","0.45","2.95","","","","","","2.41",""
"009370","浦银安盛睿和优选3个月持有混合(FOF)A",,"1.0252","0.04","0.45","3.04","","","","","","2.52",""
"009369","浦银安盛价值精选混合C",,"1.1346","2.86","4.18","15.53","","","","","","13.46",""
"009368","浦银安盛价值精选混合A",,"1.1366","2.86","4.18","15.65","","","","","","13.66",""
"009367","浦银安盛科技创新一年定开混合C",,"1.0097","","0.67","","","","","","","0.97",""
"009366","浦银安盛科技创新一年定开混合A",,"1.0098","","0.67","","","","","","","0.98",""
"009365","工银科技创新6个月定开混合C",,"1.2249","","2.53","9.63","14.32","","","","","22.49",""
"009364","工银科技创新6个月定开混合A",,"1.2308","","2.55","9.85","14.78","","","","","23.08",""
"009363","招商丰盈积极配置混合C",,"1.0628","1.64","2.10","7.10","","","","","","6.28",""
"009362","招商丰盈积极配置混合A",,"1.0664","1.65","2.12","7.32","","","","","","6.64",""
"009361","招商创新增长混合C",,"1.0984","1.55","-0.08","7.45","8.74","","","","","9.84",""
"009360","招商创新增长混合A",,"1.1031","1.56","-0.06","7.67","9.17","","","","","10.31",""
"009355","泰达泰和稳健养老一年(FOF)",,"1.0473","0.06","0.31","3.01","4.56","","","","","4.78",""
"009354","浙商科创一个月滚动持有混合C",,"1.0947","0.91","0.34","10.44","","","","","","10.40",""
"009353","浙商科创一个月滚动持有混合A",,"1.0953","0.91","0.34","10.51","","","","","","10.47",""
"009352","南方誉丰18个月混合C",,"1.0665","0.29","0.21","4.31","6.19","","","","","6.65",""
"009351","南方誉丰18个月混合A",,"1.0700","0.29","0.21","4.46","6.51","","","","","7.00",""
"009348","中融价值成长6个月持有混合C",,"1.0101","1.93","1.32","7.38","","","","","","1.01",""
"009347","中融价值成长6个月持有混合A",,"1.0134","1.93","1.34","7.60","","","","","","1.34",""
"009346","中银顺兴回报一年持有混合C",,"1.1257","0.95","1.69","7.73","12.02","","","","","12.57",""
"009345","中银顺兴回报一年持有混合A",,"1.1294","0.96","1.71","7.90","12.37","","","","","12.94",""
"009342","易方达优质企业三年持有期混合",,"1.3047","","1.38","23.15","29.99","","","","","30.47",""
"009340","工银养老2055混合(FOF)",,"1.0806","0.19","0.39","12.87","","","","","","8.06",""
"009335","工银稳健养老目标一年持有混合发起(FOF)",,"1.0189","0.03","0.40","","","","","","","1.88",""
"009334","富国融享18个月定开混合",,"1.5234","","2.44","18.38","40.38","","","","","52.34",""
"009333","博时恒裕持有期混合C",,"1.0361","0.69","0.65","1.74","2.59","","","","","3.61",""
"009332","博时恒裕持有期混合A",,"1.0390","0.69","0.66","1.86","2.82","","","","","3.90",""
"009331","鹏华成长价值混合C",,"1.3129","2.55","3.20","19.60","26.34","","","","","31.29",""
