"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"539003","建信富时100指数(QDII)人民币A",,"0.7688","","2.04","10.62","2.70","-16.25","-2.93","-13.52","-16.25","-20.65",""
"539002","建信新兴市场混合(QDII)",,"0.9500","1.28","0.42","4.28","4.97","-1.66","14.60","-0.94","-1.14","-5.00",""
"539001","建信全球机遇混合(QDII)",,"1.5530","0.71","1.11","2.44","5.79","-0.13","20.95","9.06","0.39","55.30",""
"519981","长信标普100等权重指数",,"1.4240","0.28","1.06","12.04","16.44","8.37","32.84","27.15","8.79","129.41",""
"519696","交银环球精选混合(QDII)",,"2.5120","0.28","2.45","12.60","18.71","20.42","52.18","44.29","20.98","252.49",""
"519602","海富通大中华混合(QDII)",,"1.4900","0.88","2.90","4.49","-1.32","17.60","48.85","26.06","17.79","49.00",""
"519601","海富通中国海外混合",,"2.2950","0.83","3.01","5.71","-0.82","16.56","48.74","22.73","16.91","181.41",""
"501300","海富通全球收益债券人民币",,"1.0490","0.33","0.17","-2.07","-3.76","-3.01","5.40","8.45","-2.87","4.70",""
"501021","华宝香港中小(QDII-LOF)A",,"1.7142","1.90","3.18","10.77","15.23","12.20","46.30","20.32","12.18","71.42",""
"501018","南方原油A",,"0.5822","0.81","1.82","12.94","7.72","-51.32","-34.10","-44.11","-50.69","-41.78",""
"486002","工银全球精选股票(QDII)",,"2.8830","0.49","0.52","4.91","10.21","11.14","45.83","48.61","11.79","188.30",""
"486001","工银全球股票(QDII)",,"1.6960","1.07","-0.29","4.43","10.85","19.96","59.41","52.62","20.88","180.80",""
"470888","汇添富香港混合(QDII)",,"1.2720","-0.16","-0.39","3.92","8.16","25.69","49.47","11.68","26.07","44.66",""
"460010","华泰柏瑞亚洲领导企业混合",,"1.6080","0.69","1.84","13.88","38.74","65.26","89.85","61.12","65.09","60.80",""
"457001","国富亚洲机会股票(QDII)",,"1.6590","0.12","1.41","13.55","25.11","50.54","100.12","65.06","49.46","79.92",""
"378546","上投摩根全球天然资源混合",,"0.6829","0.52","2.06","15.22","11.95","-7.47","7.04","-4.89","-7.59","-31.71",""
"378006","上投摩根全球新兴市场混合",,"1.3523","1.34","1.81","18.52","25.21","20.74","48.93","19.04","21.39","35.23",""
"377016","上投摩根亚太优势混合",,"1.0670","1.91","2.20","16.87","24.21","23.64","54.64","33.38","24.36","6.70",""
"320017","诺安全球收益不动产",,"1.3610","-0.73","-0.07","2.48","-1.02","-14.56","-2.16","-8.10","-15.15","36.10",""
"320013","诺安全球黄金",,"1.0800","0.47","0.75","-5.10","-2.88","13.68","33.83","36.19","13.68","16.88",""
"270042","广发纳斯达克100指数A",,"3.6970","0.31","1.27","8.76","18.79","33.79","89.68","95.30","34.54","348.76",""
"270023","广发全球精选股票(QDII)",,"3.2070","1.20","1.94","18.17","48.61","93.19","143.14","96.62","92.27","325.81",""
"262001","景顺长城大中华混合(QDII)人民币",,"2.3090","0.17","2.85","14.02","22.71","56.97","97.87","80.91","57.56","197.09",""
"241001","华宝海外中国成长混合",,"1.9790","1.44","0.25","-3.56","-1.98","10.68","38.01","5.83","9.70","97.90",""
