"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"006228","中欧医疗创新股票A",,"2.5104","1.23","2.60","16.70","16.13","102.11","","","99.06","151.04",""
"006221","工银上证50ETF联接C",,"1.4894","1.48","2.10","9.51","20.05","15.88","48.93","","15.86","48.94",""
"006220","工银上证50ETF联接A",,"1.5007","1.47","2.10","9.57","20.20","16.16","50.04","","16.14","50.07",""
"006215","平安500ETF联接C",,"1.3649","1.10","-0.51","1.73","9.81","22.99","53.98","","22.42","36.49",""
"006214","平安500ETF联接A",,"1.3681","1.11","-0.51","1.76","9.86","23.11","54.36","","22.55","36.81",""
"006197","华夏中证央企ETF联接C",,"1.1837","0.71","1.40","8.83","18.88","12.37","18.04","","11.87","18.37",""
"006196","华夏中证央企ETF联接A",,"1.1913","0.71","1.40","8.90","19.06","12.72","18.76","","12.21","19.13",""
"006195","国金量化多因子",,"1.3682","1.19","0.56","5.04","20.04","17.27","37.33","","16.50","36.82",""
"006194","鑫元核心资产C",,"1.5196","2.22","2.56","9.27","27.24","35.86","53.26","","35.45","51.96",""
"006193","鑫元核心资产A",,"1.5366","2.22","2.57","9.48","27.72","36.96","54.82","","36.56","53.66",""
"006166","建信中证1000指数增强C",,"1.6365","0.71","-0.78","-3.11","2.64","32.45","74.17","","31.43","74.29",""
"006165","建信中证1000指数增强A",,"1.6508","0.71","-0.77","-3.01","2.85","32.98","75.18","","31.96","75.75",""
"006144","恒生前海中证质量成长C",,"1.3396","0.82","0.20","2.21","13.54","22.55","","","21.67","33.96",""
"006143","恒生前海中证质量成长A",,"1.3475","0.82","0.21","2.31","13.76","23.03","","","22.14","34.75",""
"006138","国联安价值优选股票",,"1.8843","0.16","-0.25","4.89","22.22","37.92","93.44","","37.55","88.43",""
"006131","华泰柏瑞沪深300ETF联接C",,"1.4152","1.37","2.00","11.16","23.13","25.67","69.69","","25.24","52.75",""
"006130","华安中证500低波ETF联接C",,"1.2201","0.41","-1.28","-1.69","3.95","11.15","","","10.80","22.01",""
"006129","华安中证500低波ETF联接A",,"1.2346","0.41","-1.27","-1.59","4.17","11.61","","","11.25","23.46",""
"006119","银华中证央企结构调整ETF联接",,"1.1091","0.74","1.68","9.39","18.73","12.11","10.79","","11.60","10.91",""
"006106","景顺长城量化港股通股票",,"0.9818","1.42","1.53","6.20","4.79","-3.88","","","-3.39","-1.82",""
"006098","华宝券商ETF联接A",,"1.6159","1.95","2.19","-2.92","14.80","13.20","63.45","","13.64","61.59",""
"006087","华泰柏瑞中证500ETF联接C",,"0.7400","1.13","-0.46","2.41","12.00","27.50","64.74","","26.89","26.32",""
"006081","海富通电子传媒股票A",,"2.2269","0.92","-1.04","9.28","8.71","59.98","122.67","","59.61","122.69",""
"006080","海富通电子传媒股票C",,"2.1716","0.92","-1.05","9.07","8.28","58.72","117.14","","58.36","117.16",""
"006063","景顺长城MSCI中国A股国际通",,"1.6067","1.89","2.23","8.47","21.40","36.97","85.83","","36.22","60.67",""
"006048","长城中证500指数增强A",,"1.3876","1.22","0.08","0.51","12.65","29.61","74.26","","28.96","38.76",""
"006034","富国MSCI中国A股国际通",,"1.8836","1.43","2.39","10.38","24.95","41.25","88.30","","40.32","88.36",""
"006021","广发沪深300指数增强C",,"1.8385","1.75","2.85","14.83","33.20","43.97","110.60","","43.36","83.83",""
"006020","广发沪深300指数增强A",,"1.8547","1.75","2.86","14.94","33.46","44.54","112.11","","43.93","85.45",""
"006003","工银医药健康股票C",,"3.0374","1.29","2.34","10.17","10.48","94.32","222.85","","90.79","203.74",""
"006002","工银医药健康股票A",,"3.0856","1.29","2.36","10.33","10.82","95.50","227.45","","91.94","208.56",""
"005999","嘉实中证金融地产ETF联接C",,"1.2996","0.71","1.48","4.19","14.45","2.69","35.19","","2.84","30.22",""
