净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2013-11-11,1.0,1.0,,封闭期,封闭期,nan
2013-11-15,1.0,1.0,0.0,封闭期,封闭期,nan
2013-11-22,1.001,1.001,0.1,封闭期,封闭期,nan
2013-11-29,1.001,1.001,0.0,封闭期,封闭期,nan
2013-12-06,1.002,1.002,0.1,封闭期,封闭期,nan
2013-12-09,1.002,1.002,0.0,封闭期,封闭期,nan
2013-12-10,1.002,1.002,0.0,开放申购,开放赎回,nan
2013-12-11,1.003,1.003,0.1,开放申购,开放赎回,nan
2013-12-12,1.003,1.003,0.0,开放申购,开放赎回,nan
2013-12-13,1.003,1.003,0.0,开放申购,开放赎回,nan
2013-12-16,1.002,1.002,-0.1,开放申购,开放赎回,nan
2013-12-17,1.002,1.002,0.0,开放申购,开放赎回,nan
2013-12-18,1.002,1.002,0.0,开放申购,开放赎回,nan
2013-12-19,1.002,1.002,0.0,开放申购,开放赎回,nan
2013-12-20,1.002,1.002,0.0,开放申购,开放赎回,nan
2013-12-23,1.003,1.003,0.1,开放申购,开放赎回,nan
2013-12-24,1.003,1.003,0.0,开放申购,开放赎回,nan
2013-12-25,1.004,1.004,0.1,开放申购,开放赎回,nan
2013-12-26,1.004,1.004,0.0,开放申购,开放赎回,nan
2013-12-27,1.005,1.005,0.1,开放申购,开放赎回,nan
2013-12-30,1.005,1.005,0.0,开放申购,开放赎回,nan
2013-12-31,1.006,1.006,0.1,开放申购,开放赎回,nan
2014-01-02,1.008,1.008,0.2,开放申购,开放赎回,nan
2014-01-03,1.009,1.009,0.1,开放申购,开放赎回,nan
2014-01-06,1.004,1.004,-0.5,开放申购,开放赎回,nan
2014-01-07,1.006,1.006,0.2,开放申购,开放赎回,nan
2014-01-08,1.01,1.01,0.4,开放申购,开放赎回,nan
2014-01-09,1.006,1.006,-0.4,开放申购,开放赎回,nan
2014-01-10,1.002,1.002,-0.4,开放申购,开放赎回,nan
2014-01-13,1.004,1.004,0.2,开放申购,开放赎回,nan
2014-01-14,1.01,1.01,0.6,开放申购,开放赎回,nan
2014-01-15,1.012,1.012,0.2,开放申购,开放赎回,nan
2014-01-16,1.01,1.01,-0.2,开放申购,开放赎回,nan
2014-01-17,1.01,1.01,0.0,开放申购,开放赎回,nan
2014-01-20,1.012,1.012,0.2,开放申购,开放赎回,nan
2014-01-21,1.029,1.029,1.68,开放申购,开放赎回,nan
2014-01-22,1.051,1.051,2.14,开放申购,开放赎回,nan
2014-01-23,1.075,1.075,2.28,开放申购,开放赎回,nan
2014-01-24,1.095,1.095,1.86,开放申购,开放赎回,nan
2014-01-27,1.089,1.089,-0.55,开放申购,开放赎回,nan
2014-01-28,1.093,1.093,0.37,开放申购,开放赎回,nan
2014-01-29,1.109,1.109,1.46,开放申购,开放赎回,nan
2014-01-30,1.101,1.101,-0.72,开放申购,开放赎回,nan
2014-02-07,1.134,1.134,3.0,开放申购,开放赎回,nan
2014-02-10,1.164,1.164,2.65,开放申购,开放赎回,nan
2014-02-11,1.157,1.157,-0.6,开放申购,开放赎回,nan
2014-02-12,1.166,1.166,0.78,开放申购,开放赎回,nan
2014-02-13,1.13,1.13,-3.09,开放申购,开放赎回,nan
2014-02-14,1.154,1.154,2.12,开放申购,开放赎回,nan
2014-02-17,1.201,1.201,4.07,开放申购,开放赎回,nan
2014-02-18,1.202,1.202,0.08,开放申购,开放赎回,nan
2014-02-19,1.193,1.193,-0.75,开放申购,开放赎回,nan
2014-02-20,1.176,1.176,-1.43,开放申购,开放赎回,nan
2014-02-21,1.19,1.19,1.19,开放申购,开放赎回,nan
2014-02-24,1.217,1.217,2.27,开放申购,开放赎回,nan
2014-02-25,1.17,1.17,-3.86,开放申购,开放赎回,nan
2014-02-26,1.182,1.182,1.03,开放申购,开放赎回,nan
2014-02-27,1.158,1.158,-2.03,开放申购,开放赎回,nan
2014-02-28,1.169,1.169,0.95,开放申购,开放赎回,nan
2014-03-03,1.201,1.201,2.74,开放申购,开放赎回,nan
2014-03-04,1.197,1.197,-0.33,开放申购,开放赎回,nan
2014-03-05,1.183,1.183,-1.17,开放申购,开放赎回,nan
2014-03-06,1.182,1.182,-0.08,开放申购,开放赎回,nan
2014-03-07,1.173,1.173,-0.76,开放申购,开放赎回,nan
2014-03-10,1.128,1.128,-3.84,开放申购,开放赎回,nan
2014-03-11,1.123,1.123,-0.44,开放申购,开放赎回,nan
2014-03-12,1.116,1.116,-0.62,开放申购,开放赎回,nan
2014-03-13,1.136,1.136,1.79,开放申购,开放赎回,nan
2014-03-14,1.133,1.133,-0.26,开放申购,开放赎回,nan
2014-03-17,1.157,1.157,2.12,开放申购,开放赎回,nan
2014-03-18,1.173,1.173,1.38,开放申购,开放赎回,nan
2014-03-19,1.175,1.175,0.17,开放申购,开放赎回,nan
2014-03-20,1.131,1.131,-3.74,开放申购,开放赎回,nan
2014-03-21,1.151,1.151,1.77,开放申购,开放赎回,nan
2014-03-24,1.151,1.151,0.0,开放申购,开放赎回,nan
2014-03-25,1.145,1.145,-0.52,开放申购,开放赎回,nan
2014-03-26,1.153,1.153,0.7,开放申购,开放赎回,nan
2014-03-27,1.118,1.118,-3.04,开放申购,开放赎回,nan
2014-03-28,1.075,1.075,-3.85,开放申购,开放赎回,nan
2014-03-31,1.077,1.077,0.19,开放申购,开放赎回,nan
2014-04-01,1.11,1.11,3.06,开放申购,开放赎回,nan
