净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2017-06-07,1.0,1.0,,封闭期,封闭期,nan
2017-06-09,1.0,1.0,,封闭期,封闭期,nan
2017-06-16,1.001,1.001,,封闭期,封闭期,nan
2017-06-23,1.001,1.001,,封闭期,封闭期,nan
2017-06-30,1.002,1.002,,封闭期,封闭期,nan
2017-07-06,1.002,1.002,,封闭期,封闭期,nan
2017-07-07,1.003,1.003,0.1,开放申购,开放赎回,nan
2017-07-10,1.006,1.006,0.3,开放申购,开放赎回,nan
2017-07-11,1.001,1.001,-0.5,开放申购,开放赎回,nan
2017-07-12,1.015,1.015,1.4,开放申购,开放赎回,nan
2017-07-13,1.012,1.012,-0.3,开放申购,开放赎回,nan
2017-07-14,1.019,1.019,0.69,开放申购,开放赎回,nan
2017-07-17,1.004,1.004,-1.47,开放申购,开放赎回,nan
2017-07-18,1.007,1.007,0.3,开放申购,开放赎回,nan
2017-07-19,1.019,1.019,1.19,开放申购,开放赎回,nan
2017-07-20,1.032,1.032,1.28,开放申购,开放赎回,nan
2017-07-21,1.041,1.041,0.87,开放申购,开放赎回,nan
2017-07-24,1.021,1.021,-1.92,开放申购,开放赎回,nan
2017-07-25,1.018,1.018,-0.29,开放申购,开放赎回,nan
2017-07-26,1.019,1.019,0.1,开放申购,开放赎回,nan
2017-07-27,1.009,1.009,-0.98,开放申购,开放赎回,nan
2017-07-28,1.036,1.036,2.68,开放申购,开放赎回,nan
2017-07-31,1.055,1.055,1.83,开放申购,开放赎回,nan
2017-08-01,1.061,1.061,0.57,开放申购,开放赎回,nan
2017-08-02,1.057,1.057,-0.38,开放申购,开放赎回,nan
2017-08-03,1.05,1.05,-0.66,开放申购,开放赎回,nan
2017-08-04,1.016,1.016,-3.24,开放申购,开放赎回,nan
2017-08-07,1.032,1.032,1.57,开放申购,开放赎回,nan
2017-08-08,1.02,1.02,-1.16,开放申购,开放赎回,nan
2017-08-09,1.034,1.034,1.37,开放申购,开放赎回,nan
2017-08-10,1.017,1.017,-1.64,开放申购,开放赎回,nan
2017-08-11,0.987,0.987,-2.95,开放申购,开放赎回,nan
2017-08-14,1.036,1.036,4.96,开放申购,开放赎回,nan
2017-08-15,1.045,1.045,0.87,开放申购,开放赎回,nan
2017-08-16,1.034,1.034,-1.05,开放申购,开放赎回,nan
2017-08-17,1.041,1.041,0.68,开放申购,开放赎回,nan
2017-08-18,1.018,1.018,-2.21,开放申购,开放赎回,nan
2017-08-21,1.027,1.027,0.88,开放申购,开放赎回,nan
2017-08-22,1.04,1.04,1.27,开放申购,开放赎回,nan
2017-08-23,1.027,1.027,-1.25,开放申购,开放赎回,nan
2017-08-24,1.019,1.019,-0.78,开放申购,开放赎回,nan
2017-08-25,1.038,1.038,1.86,开放申购,开放赎回,nan
2017-08-28,1.06,1.06,2.12,开放申购,开放赎回,nan
2017-08-29,1.055,1.055,-0.47,开放申购,开放赎回,nan
2017-08-30,1.063,1.063,0.76,开放申购,开放赎回,nan
2017-08-31,1.084,1.084,1.98,开放申购,开放赎回,nan
2017-09-01,1.105,1.105,1.94,开放申购,开放赎回,nan
2017-09-04,1.106,1.106,0.09,开放申购,开放赎回,nan
2017-09-05,1.142,1.142,3.26,开放申购,开放赎回,nan
2017-09-06,1.18,1.18,3.33,开放申购,开放赎回,nan
2017-09-07,1.165,1.165,-1.27,开放申购,开放赎回,nan
2017-09-08,1.166,1.166,0.09,开放申购,开放赎回,nan
2017-09-11,1.226,1.226,5.15,开放申购,开放赎回,nan
2017-09-12,1.192,1.192,-2.77,开放申购,开放赎回,nan
2017-09-13,1.211,1.211,1.59,开放申购,开放赎回,nan
2017-09-14,1.199,1.199,-0.99,开放申购,开放赎回,nan
2017-09-15,1.191,1.191,-0.67,开放申购,开放赎回,nan
2017-09-18,1.209,1.209,1.51,开放申购,开放赎回,nan
2017-09-19,1.203,1.203,-0.5,开放申购,开放赎回,nan
2017-09-20,1.223,1.223,1.66,开放申购,开放赎回,nan
2017-09-21,1.206,1.206,-1.39,开放申购,开放赎回,nan
