净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2017-11-06,1.0,1.0,,封闭期,封闭期,nan
2017-11-10,1.0051,,,封闭期,封闭期,nan
2017-11-17,1.0147,1.0147,,封闭期,封闭期,nan
2017-11-24,1.0167,,,封闭期,封闭期,nan
2017-12-01,0.9964,,,封闭期,封闭期,nan
2017-12-08,1.0011,,,封闭期,封闭期,nan
2017-12-15,1.0037,,,封闭期,封闭期,nan
2017-12-22,1.0265,,,封闭期,封闭期,nan
2017-12-29,1.0324,,,封闭期,封闭期,nan
2017-12-31,1.0324,1.0324,,封闭期,封闭期,nan
2018-01-04,1.0563,1.0563,,封闭期,封闭期,nan
2018-01-05,1.061,1.061,0.44,封闭期,封闭期,nan
2018-01-08,1.0693,1.0693,0.78,开放申购,开放赎回,nan
2018-01-09,1.0743,1.0743,0.47,开放申购,开放赎回,nan
2018-01-10,1.0827,1.0827,0.78,开放申购,开放赎回,nan
2018-01-11,1.0765,1.0765,-0.57,开放申购,开放赎回,nan
2018-01-12,1.0863,1.0863,0.91,开放申购,开放赎回,nan
2018-01-15,1.0773,1.0773,-0.83,开放申购,开放赎回,nan
2018-01-16,1.0909,1.0909,1.26,开放申购,开放赎回,nan
2018-01-17,1.0811,1.0811,-0.9,开放申购,开放赎回,nan
2018-01-18,1.0883,1.0883,0.67,开放申购,开放赎回,nan
2018-01-19,1.0917,1.0917,0.31,开放申购,开放赎回,nan
2018-01-22,1.1131,1.1131,1.96,开放申购,开放赎回,nan
2018-01-23,1.1261,1.1261,1.17,开放申购,开放赎回,nan
2018-01-24,1.1252,1.1252,-0.08,开放申购,开放赎回,nan
2018-01-25,1.1145,1.1145,-0.95,开放申购,开放赎回,nan
2018-01-26,1.1291,1.1291,1.31,开放申购,开放赎回,nan
2018-01-29,1.1206,1.1206,-0.75,开放申购,开放赎回,nan
2018-01-30,1.1065,1.1065,-1.26,开放申购,开放赎回,nan
2018-01-31,1.1163,1.1163,0.89,开放申购,开放赎回,nan
2018-02-01,1.1096,1.1096,-0.6,开放申购,开放赎回,nan
2018-02-02,1.1216,1.1216,1.08,开放申购,开放赎回,nan
2018-02-05,1.1168,1.1168,-0.43,开放申购,开放赎回,nan
2018-02-06,1.0752,1.0752,-3.72,开放申购,开放赎回,nan
2018-02-07,1.0454,1.0454,-2.77,开放申购,开放赎回,nan
