净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2017-06-02,1.0,1.0,,封闭期,封闭期,nan
2017-06-09,1.0,1.0,,封闭期,封闭期,nan
2017-06-16,1.0,1.0,,封闭期,封闭期,nan
2017-06-19,1.0,1.0,0.0,封闭期,封闭期,nan
2017-06-20,1.0,1.0,0.0,开放申购,开放赎回,nan
2017-06-21,1.001,1.001,0.1,开放申购,开放赎回,nan
2017-06-22,1.001,1.001,0.0,开放申购,开放赎回,nan
2017-06-23,1.001,1.001,0.0,开放申购,开放赎回,nan
2017-06-26,1.001,1.001,0.0,开放申购,开放赎回,nan
2017-06-27,1.002,1.002,0.1,开放申购,开放赎回,nan
2017-06-28,1.002,1.002,0.0,开放申购,开放赎回,nan
2017-06-29,1.002,1.002,0.0,开放申购,开放赎回,nan
2017-06-30,1.002,1.002,0.0,开放申购,开放赎回,nan
2017-07-03,1.003,1.003,0.1,开放申购,开放赎回,nan
2017-07-04,1.003,1.003,0.0,开放申购,开放赎回,nan
2017-07-05,1.003,1.003,0.0,开放申购,开放赎回,nan
2017-07-06,1.004,1.004,0.1,开放申购,开放赎回,nan
2017-07-07,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-10,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-11,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-12,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-13,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-14,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-17,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-18,1.004,1.004,0.0,开放申购,开放赎回,nan
2017-07-19,1.005,1.005,0.1,开放申购,开放赎回,nan
2017-07-20,1.006,1.006,0.1,开放申购,开放赎回,nan
2017-07-21,1.005,1.005,-0.1,开放申购,开放赎回,nan
2017-07-24,1.005,1.005,0.0,开放申购,开放赎回,nan
2017-07-25,1.004,1.004,-0.1,开放申购,开放赎回,nan
2017-07-26,1.007,1.007,0.3,开放申购,开放赎回,nan
2017-07-27,1.011,1.011,0.4,开放申购,开放赎回,nan
2017-07-28,1.014,1.014,0.3,开放申购,开放赎回,nan
2017-07-31,1.019,1.019,0.49,开放申购,开放赎回,nan
2017-08-01,1.019,1.019,0.0,开放申购,开放赎回,nan
2017-08-02,1.018,1.018,-0.1,开放申购,开放赎回,nan
2017-08-03,1.02,1.02,0.2,开放申购,开放赎回,nan
