"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"009241","融通领先成长混合(LOF)C",,"1.9520","-0.41","3.44","7.25","28.67","","","","","55.54",""
"009234","鹏华优质企业混合",,"1.3237","0.23","4.26","17.77","32.36","","","","","32.37",""
"009231","鹏华安和混合C",,"1.0393","-0.24","0.80","0.13","3.93","","","","","3.93",""
"009230","鹏华安和混合A",,"1.0408","-0.25","0.79","0.20","4.08","","","","","4.08",""
"009224","宝盈现代服务业混合C",,"0.9918","-1.06","0.59","-0.70","","","","","","-0.82",""
"009223","宝盈现代服务业混合A",,"0.9939","-1.06","0.60","-0.57","","","","","","-0.61",""
"009218","博时荣丰回报三年封闭混合C",,"1.1914","","0.63","0.15","16.59","","","","","19.14",""
"009217","博时荣丰回报三年封闭混合A",,"1.1951","","0.65","0.29","16.89","","","","","19.51",""
"009214","易方达如意安泰(FOF)C",,"1.0086","0.11","0.23","1.19","","","","","","0.86",""
"009213","易方达如意安泰(FOF)A",,"1.0096","0.11","0.24","1.27","","","","","","0.96",""
"009211","中欧嘉和三年混合C",,"1.2786","-0.13","3.08","3.86","26.49","","","","","27.86",""
"009210","中欧嘉和三年混合A",,"1.2814","-0.13","3.08","3.96","26.75","","","","","28.14",""
"009206","兴银丰运稳益回报混合C",,"1.0657","0.23","1.53","4.58","6.74","","","","","6.57",""
"009205","兴银丰运稳益回报混合A",,"1.0687","0.23","1.54","4.69","7.03","","","","","6.87",""
"009202","中邮优享一年定开混合C",,"1.0519","","0.43","1.12","5.21","","","","","5.18",""
"009201","中邮优享一年定开混合A",,"1.0550","","0.45","1.25","5.49","","","","","5.49",""
"009199","万家价值优势一年持有期混合",,"1.2768","1.20","4.00","9.69","28.59","","","","","27.68",""
"009198","前海开源黄金ETF联接",,"0.9865","0.39","2.16","-5.86","-0.40","","","","","-1.35",""
"009190","景顺长城核心优选混合",,"1.3666","-0.60","3.96","10.65","31.77","","","","","36.66",""
"009189","华宝成长策略混合",,"1.3040","1.68","6.15","17.75","27.03","","","","","30.40",""
"009188","鹏华股息精选混合",,"1.2649","-1.23","0.16","1.00","26.40","","","","","26.49",""
"009187","天弘聚新三个月定开C",,"1.0390","","0.91","3.43","","","","","","3.90",""
"009186","天弘聚新三个月定开A",,"1.0390","","0.91","3.43","","","","","","3.90",""
"009185","农银汇理永乐3月持有(FOF)",,"1.0341","0.16","0.31","1.59","","","","","","3.41",""
"009184","东方红颐和积极养老五年(FOF)",,"1.1133","0.18","0.17","5.88","","","","","","11.33",""
"009183","东方红颐和平衡养老三年(FOF)",,"1.0811","0.14","0.19","3.93","8.11","","","","","8.11",""
"009182","浙商智多兴稳健回报一年持有混合C",,"1.0486","0.12","0.91","4.12","4.92","","","","","4.86",""
"009181","浙商智多兴稳健回报一年持有混合A",,"1.0514","0.12","0.92","4.24","5.19","","","","","5.14",""
"009174","东方红颐和稳健养老两年(FOF)",,"1.0286","0.06","0.03","1.38","","","","","","2.86",""
"009170","湘财长兴灵活配置混合C",,"1.1400","0.04","2.03","5.00","13.63","","","","","14.00",""
"009169","湘财长兴灵活配置混合A",,"1.1461","0.03","2.05","5.11","14.07","","","","","14.61",""
"009165","中加聚庆六个月定开混合C",,"1.1274","","0.98","4.33","12.17","","","","","12.74",""
"009164","中加聚庆六个月定开混合A",,"1.1300","","0.98","4.44","12.40","","","","","13.00",""
"009161","上投锦程养老五年混合(FOF)",,"1.2369","0.17","0.15","4.11","18.00","","","","","23.69",""
"009155","海富通富盈混合C",,"1.0394","-0.13","0.47","1.04","3.83","","","","","3.94",""
"009154","海富通富盈混合A",,"1.0418","-0.13","0.48","1.14","4.03","","","","","4.18",""
"009153","南方瑞盛三年混合C",,"1.2125","0.45","2.80","4.35","17.27","","","","","21.25",""
"009152","南方瑞盛三年混合A",,"1.2133","0.45","2.80","4.38","17.34","","","","","21.33",""
"009151","国寿策略优选3个月持有混合(FOF)",,"1.0389","0.26","0.61","2.83","","","","","","3.89",""
"009149","富国绝对收益多策略混合C",,"1.3310","0.08","-0.08","-1.19","1.99","","","","","8.04",""
"009146","新华精选成长3个月混合(FOF)",,"1.2113","0.71","1.41","5.50","18.18","","","","","21.13",""
"009145","博时荣升稳健添利混合C",,"1.0464","","0.29","1.18","4.91","","","","","4.64",""
"009144","博时荣升稳健添利混合A",,"1.0490","","0.29","1.27","5.12","","","","","4.90",""
"009143","上投摩根养老一年混合(FOF)",,"1.0563","0.09","0.21","2.71","5.71","","","","","5.63",""
"009142","泰达价值长青混合C",,"1.2260","-0.25","5.38","15.43","","","","","","22.60",""
"009141","泰达价值长青混合A",,"1.2278","-0.24","5.39","15.51","","","","","","22.78",""
"009140","永赢竞争力精选混合",,"1.4425","0.35","3.90","19.35","38.49","","","","","44.24",""
"009139","嘉实瑞成两年持有期混合C",,"1.3720","-0.12","3.25","9.12","31.07","","","","","37.20",""
"009138","嘉实瑞成两年持有期混合A",,"1.3753","-0.12","3.27","9.23","31.33","","","","","37.53",""
"009137","嘉实瑞和两年持有期混合",,"1.4141","-1.16","1.95","7.52","25.17","","","","","41.41",""
"009133","汇安嘉利一年封闭混合A",,"1.0487","","0.18","1.03","5.75","","","","","4.87",""
"009132","广发小盘成长混合(LOF)C",,"3.2826","1.13","4.34","3.88","18.42","","","","","39.10",""
"009131","鹏扬景恒六个月持有混合C",,"1.0803","0.29","1.67","5.42","8.92","","","","","8.03",""
"009130","鹏扬景恒六个月持有混合A",,"1.0831","0.29","1.67","5.51","9.14","","","","","8.31",""
"009129","明亚价值长青混合C",,"1.1951","0.37","3.32","6.92","19.89","","","","","19.51",""
"009128","明亚价值长青混合A",,"1.1978","0.37","3.33","7.00","20.09","","","","","19.78",""
"009121","广发招享混合",,"1.1167","-0.04","0.61","2.72","11.34","","","","","11.67",""
"009120","广发品质回报混合C",,"1.2000","-0.69","2.76","11.99","20.10","","","","","20.00",""
"009119","广发品质回报混合A",,"1.2026","-0.69","2.77","12.11","20.34","","","","","20.26",""
"009115","鹏扬景泓回报灵活配置混合C",,"1.0929","0.90","3.47","8.80","","","","","","9.79",""
"009114","鹏扬景泓回报灵活配置混合A",,"1.0942","0.90","3.48","8.92","","","","","","9.92",""
"009112","博远双债增利混合C",,"0.9962","0.47","1.18","-1.60","-1.60","","","","","-0.38",""
"009111","博远双债增利混合A",,"0.9976","0.47","1.19","-1.55","-1.49","","","","","-0.24",""
"009103","鹏扬红利优选混合C",,"1.1246","0.50","3.96","9.20","","","","","","12.46",""
"009102","鹏扬红利优选混合A",,"1.1265","0.50","3.97","9.32","","","","","","12.65",""
"009098","景顺长城价值领航混合",,"1.2176","-0.43","1.13","2.43","14.18","","","","","21.76",""
"009097","鹏华安泽混合C",,"1.0140","-0.13","0.35","0.23","2.21","","","","","1.40",""
"009096","鹏华安泽混合A",,"1.0177","-0.13","0.35","0.35","2.46","","","","","1.77",""
"009092","富国新材料新能源混合",,"1.1561","0.20","2.41","8.69","","","","","","15.61",""
"009086","鹏华价值共赢两年持有期混合",,"1.3694","-0.36","4.39","12.49","27.31","","","","","36.94",""
"009078","红土创新稳进混合C",,"1.0627","-0.06","0.55","1.71","7.60","","","","","7.77",""
"009077","红土创新稳进混合A",,"1.0635","-0.06","0.56","1.74","7.65","","","","","7.85",""
"009076","工银圆兴混合",,"1.5813","0.48","3.80","8.95","38.06","","","","","58.13",""
"009074","德邦惠利混合C",,"1.0327","-0.21","0.77","3.26","","","","","","3.27",""
"009073","德邦惠利混合A",,"1.0331","-0.21","0.77","3.27","","","","","","3.31",""
"009072","德邦安鑫混合C",,"1.0262","-0.18","0.70","1.65","3.15","","","","","2.62",""
"009071","德邦安鑫混合A",,"1.0293","-0.17","0.70","1.76","3.35","","","","","2.93",""
"009065","鹏扬景沃六个月持有期混合C",,"1.0637","0.00","0.94","1.90","5.22","","","","","6.37",""
"009064","鹏扬景沃六个月持有期混合A",,"1.0669","0.00","0.95","2.00","5.44","","","","","6.69",""
"009063","财通智慧成长混合C",,"1.1484","-0.08","0.92","1.76","8.62","","","","","14.84",""
"009062","财通智慧成长混合A",,"1.1549","-0.08","0.94","1.96","9.07","","","","","15.49",""
"009058","博时科技创新混合C",,"1.5816","0.04","3.10","15.31","53.91","","","","","58.16",""
"009057","博时科技创新混合A",,"1.5869","0.04","3.11","15.45","54.29","","","","","58.69",""
"009056","圆信永丰大湾区C",,"1.3441","0.02","4.90","15.68","30.81","","","","","34.41",""
"009055","圆信永丰大湾区A",,"1.3511","0.03","4.92","15.96","31.44","","","","","35.11",""
"009054","圆信永丰沣泰混合",,"1.0656","-0.15","1.66","4.84","6.33","","","","","6.56",""
"009049","易方达高端制造混合",,"1.4593","0.17","1.86","12.84","37.15","","","","","45.93",""
"009048","浦银安盛科创三年封闭混合",,"1.1241","","2.55","7.86","12.30","","","","","12.41",""
"009034","建信上海金ETF联接C",,"0.9690","0.74","2.52","-2.92","","","","","","-3.10",""
"009033","建信上海金ETF联接A",,"0.9704","0.74","2.51","-2.82","","","","","","-2.96",""
"009032","工银聚和一年定开混合C",,"1.0636","","0.54","2.50","7.34","","","","","6.36",""
"009031","工银聚和一年定开混合A",,"1.0675","","0.56","2.65","7.68","","","","","6.75",""
"009030","工银高质量成长混合C",,"1.1785","0.31","2.37","6.46","17.85","","","","","17.85",""
"009029","工银高质量成长混合A",,"1.1832","0.31","2.39","6.66","18.32","","","","","18.32",""
"009028","浦银安盛安远回报一年混合C",,"1.0447","-0.12","1.39","4.02","","","","","","4.47",""
"009027","浦银安盛安远回报一年混合A",,"1.0463","-0.11","1.40","4.12","","","","","","4.63",""
"009026","中银高质量发展机遇混合",,"1.3636","-0.06","1.13","5.75","30.54","","","","","36.36",""
"009025","海富通科技创新混合A",,"1.0504","-0.36","2.68","3.78","7.95","","","","","5.04",""
"009024","海富通科技创新混合C",,"1.0439","-0.36","2.67","3.58","7.53","","","","","4.39",""
"009016","泓德睿享一年持有期混合C",,"1.1191","-0.12","1.44","5.23","","","","","","11.91",""
"009015","泓德睿享一年持有期混合A",,"1.1212","-0.12","1.45","5.33","","","","","","12.12",""
"009014","泓德睿泽混合",,"1.6641","-0.16","4.39","15.47","50.24","","","","","66.41",""
"009011","华夏睿阳一年持有混合",,"1.5233","-0.86","1.73","12.85","34.44","","","","","52.33",""
"009010","华夏兴阳一年持有混合",,"1.5255","-0.86","1.67","12.51","34.42","","","","","52.55",""
"009009","平安科技创新混合C",,"1.4793","1.36","5.85","10.03","29.54","","","","","47.93",""
"009008","平安科技创新混合A",,"1.4886","1.35","5.86","10.24","30.05","","","","","48.86",""
